content,contentTranslation,languageInEnglish,preprocessed,translated,detected_lang,detected_conf
Men (:Menander?),Menander,Latin,menander,Menander,,
"Amat qui scribe&#7789;. (:scribit) Pedicatur qui leget. (:legit)
Qui opsultat (:opscultat), prurit. Paticus (:pathicus) est, q&#803;ui praete&#818;&#7771;it.
Ursi me come&#7693;ant et ego verp&#7841;, qui lego.","He loves who writes. he writes a pedagogue who will read. he reads, he who listens, itches. he is pathetic, who prete̲ṛit., let the bears eat me, and I will devour the one who reads.",Latin,"amat qui scribeṭ. scribit pedicatur qui leget. legit, qui opscultat, prurit. pathicus est, q̣ui praete̲ṛit., ursi me comeḍant et ego verpạ, qui lego.","He loves who writes. he writes a pedagogue who will read. he reads, he who listens, itches. he is pathetic, who prete̲ṛit., let the bears eat me, and I will devour the one who reads.",,
"RFV&#770;B M 
B&#923;

",,Latin/Greek,"rfv̂b m , bλ, , ",,,
V,5,Latin,v,v,,
&#7944;&#955;&#941;&#803;&#958;&#945;&#957;&#948;R&#959;&#962;,Alexandros,Latin/Greek,ἀλέ̣ξανδrος,,,
[Pra]e&#803;fecto Caesari[s],prefect of Caesar,Latin,praẹfecto caesaris,prefect of Caesar,,
Eros Spleia,eros spleia,Latin,eros spleia,eros spleia,,
"&#12296;:columna I&#12297;
A[lb]anus Pompon(ius)
S[ev]eri servus 

&#12296;:columna II&#12297;
[- - -]

&#12296;:columna III&#12297;
Severus",", a pompous Albanian, a severe servant, , , ,, , , severe",Latin,", albanus pomponius, severi servus , , , ,, , , severus",", a pompous Albanian, a severe servant, , , ,, , , severe",,
"&#12296;:in striis variis&#12297;
MI
 
CII
 
X
 
XXI
 
I&#773;I&#773;I&#773;I&#773;",(Individual letters),Latin,", mi, , cii, , x, , xxi, , i̅i̅i̅i̅",", mi, , cii, , x, , xxi, , i̅i̅i̅i̅",,
Spe(s?) a&#803;(ssibus?),Spes asses?,Latin,spes ạssibus,hope,,
lucr[---],profit,Latin,lucr.,profit,,
"CTV
&#12296;:textus non legitur&#12297;
DED",(Incomprehensible series of letters),Latin,"ctv, , ded","ctv, , ded",,
"D
D
DC
V
V
V
XX
FIIL","500, 500, 600, 5, 5, 5, 20, ?",Latin,"d, d, dc, v, v, v, xx, fiil","d, d, dc, v, v, v, xx, fiil",,
"A(uli) Pos=
stu=
mi (:Postumi)
Qui=
cti",Of Aulus Postumius Qui(n)ctus,Latin,"auli pos=, stu=, postumi, qui=, cti","auli pos=, stu=, postumi, qui=, cti",,
Sollemnes (:Sollemnis) hic,solemn here,Latin,sollemnis hic,solemn here,,
"A&#770;u&#770;ctilius
Ati&#803;l&#803;o&#803; (:Atilio) s&#803;a&#803;(lutem).
Casellio
infelicia",Auctilius says hi to Atil(l)ius. To Casellius - bad luck/unhappy things.,Latin,"âûctilius, atịḷọ atilio ṣạlutem., casellio, infelicia","âûctilius, atịḷọ atilio ṣạlutem., castle, unhappiness",,
AXCDFER,axcdfer,Latin,axcdfer,axcdfer,,
Placidus,Placidus,Latin,placidus,calm,,
"Admiror o pariens (:paries) te non cecidisse ruinis qui tot
scriptorum taedia sustineas","I wonder, oh walls, that you did not fall into the ruins of so many, to endure the fatigue of writers",Latin,"admiror o paries te non cecidisse ruinis qui tot, scriptorum taedia sustineas","I wonder, oh walls, that you did not fall into the ruins of so many, to endure the fatigue of writers",,
"&#12296;:ad perpendiculum&#12297;
L(ucius) Acutius MA",Lucius Acutius MA,Latin,", lucius acutius ma",", a sharper light ma",,
Quibus,To (or for) whom,Latin,quibus,to whom,,
"Xomanus (:Romanus?)
Homulo",A Roman to a little man,Latin,"romanus, homulo","a Roman, a man",,
Iucu&#803;nd&#803;us,Iucundus,Latin,iucụnḍus,nice,,
"Pittacius
cum
P&#803;r&#803;imigenia
hic
Prima seq=
uere
Volu=
mnius","Pittacius was here with Primigenia. Prima, follow (me). --Volumnius",Latin,"pittacius, cum, p̣ṛimigenia, hic, prima seq=, uere, volu=, mnius","label, with, p̣ṛimigenia, here, first seq=, vere, volu=, less",,
A(ssibus) XIX,19 asses (coins),Latin,assibus xix,assis xix,,
"D &#12296;:vacat&#12297; BA
D
D((:navis)) BK
","d ba, d, dnavis bk,",Latin,"d ba, d, dnavis bk, ","d ba, d, dnavis bk,",,
C(aius) T(---?) Lux,C. T. Lux,Latin,caius t lux,caius t light,,
"&#12296;:stria 12&#12297;
Narci=
sus (:Narcissus)

&#12296;:stria 13&#12297;
Narcisus (:Narcissus)
sitien(s) hac 

&#12296;:stria 14&#12297;
Narcisus (:Narcissus)
sitiens hac",Narcissus -- Narcissus is thirsty here -- Narcissus is thirsty over here.,Latin,", narci=, narcissus, , , narcissus, sitiens hac , , , narcissus, sitiens hac",", narcissus=, narcissus, , , narcissus, thirsty for this",,
M&#770;us v&#770;a(le),"Goodbye, Mus",Latin,m̂us v̂ale,I'm sorry,,
ABD,Abd,Latin,abd,Abd,,
Asbestus hic,asbestos here,Latin,asbestus hic,asbestos here,,
Vitalis,vital,Latin,vitalis,vital,,
Er&#818;os,Eros,Latin,er̲os,er̲os,,
X,10,Latin,x,x,,
Fortunatus,lucky,Latin,fortunatus,lucky,,
"&#12296;:ad sinistram&#12297; 
Q(uintus) Ptronius (:Petronius) m(issus)
Otavs (:Octavus) &#12296;:pugnarum&#12297; XXXIIII
((:gladiator fugiens))

&#12296;:ad dextram&#12297;
Severus · v(icit)
lib(ertus) &#12296;:pugnarum&#12297; XXXXXV
((:gladiator qui alterum illum persequitur))","Quintus Petronius Octavus, 34 wins - sent away (i.e. lost)
Severus, freedman, 55 wins - winner!",Latin," , quintus petronius missus, octavus xxxiiii, gladiator fugiens, , , severus · vicit, libertus xxxxxv, gladiator qui alterum illum persequitur",", the fifth Petronius sent, the eighth xxxiii, a gladiator fleeing, , , severe · won, liberated xxxxxv, a gladiator who pursues that other",,
Cressa,grown up,Latin,cressa,grown up,,
"cant(icuere) (:conticuere)
",They were silent (conticuere?),Latin,"canticuere conticuere, ",sing sing,,
Mario &#12296;:vacat&#12297; Mario,For Marius. For Marius,Latin,mario mario,mario mario,,
"T[--?]U for&#803;mosus TUNCAS
CARIS (:Paris?) ISSF (:isse?) [---] TIII'TF_NTRIQ (:Septentrio?)
&#12296;:vacat&#12297; N [---] ICI [---] IAAIS (:Paris?) issus
Postima
Caius","(damage here...) handsome (tun(i)cs? or other text?)... 
Paris himself (other letters here...) Septentrio(?) 
(damage and other letters here) ...Paris(?) himself
Postima
Gaius",Latin,"tu foṛmosus tuncas, paris isse , tiii'septentrio, n ' ici , paris issus, postima, caius","tu formosus tuncas, par isse tiii'septentrio, n' ici",,
"MI VII IV VII VIII
X V X VII VI XI V
VII [---] III VII VI IX IIX VIIM","1001 (Or) M 1 7 4 7 8
10 5 10 7 6 11 5 
7 3 7 6 9 7 M",Latin,"mi vii iv vii viii, x v x vii vi xi v, vii ii iii vii vi ix iix viim","mi vii iv vii viii, x v x vii vi xi v, vii ii iii vii vi ix iix viim",,
"Propero vale mea Sava
fac me ames","I am hurrying. Farewell, my sweetie(?). See to it that you love me.",Latin,"propero vale mea sava, fac me ames","Farewell quickly, my dear, make me love you",,
"&#12296;:in forma tabellae ansatae&#12297;
Antonius",Antonius,Latin,", antonius",", Antonius",,
"GAVDAN
rogo te","GAUDAN (a nickname?), I ask you",Latin,"gavdan, rogo te","gavdan, please",,
E A R S T (?),e a r s t,Latin,e a r s t ,e a r s t,,
Das&#803;ius,Dasius 1,Latin,daṣius,dashi,,
Victorie,victory,Latin,victorie,victory,,
E&#818;I&#818;ACIA++CV&#803;[+4?+]+&#818;+&#818; qui esse&#818; A&#818;P&#818;S&#818;O&#818;I&#818;V&#818;A&#818;S&#818;C&#818;R&#818;I&#818;O&#818; c&#818;ur &#12296;:vacat&#12297; X&#818;X&#818;X&#818;,(incomprehensible series of letters) who to be (incomprehensible series of letters) why 30,Latin,e̲i̲aciacṿ4̲̲ qui esse̲ a̲p̲s̲o̲i̲v̲a̲s̲c̲r̲i̲o̲ c̲ur x̲x̲x̲,e̲i̲aciacṿ4̲̲ who esse̲ a̲p̲s̲o̲i̲v̲a̲s̲c̲r̲i̲o̲ c̲ur x̲x̲x̲,,
"C(aius) Alleius Astraga[l]us
&#12296;:vacat&#12297; curator
fuit I&#803;V Non(is) D&#803;e&#803;c&#803;(embres) usce (:usque) ad
V&#803;I E&#803;id(us) De&#803;c(embres) M(arco) Agrip(pa) T&#803;(ito) Stat(ilio) Co(n)s(ulibus)
CE+RIA C(aii) Iuli Heleni turma
C(aii) Iuli Hilari","Gaius Alleius Astragalus was supervisor from 4 days before the Nones of December until 6 days before the Ides of December, in the yearMarcus Agrippa and Titus Statilius were consuls (incomprehensible series of letters) the squadron of Gaius Julius Helenus (and?) Gaius Julius Hilarus",Latin,"caius alleius astragalus, curator, fuit ịv nonis ḍẹc̣embres usque ad, ṿi ẹidus dẹcembres marco agrippa ṭito statilio consulibus, ceria caii iuli heleni turma, caii iuli hilari","Caius Alleius Astragalus, the curator, was ịv nonis ḍẹc̣embres until, ṿi ếidus dẽcembres Marcus Agrippa ṭitus Statilius consuls, ceria Caius Julius Heleni troma, Caius Julius Hilari",,
L(ucius) Postumius L&#803;(uci) [- - -],Lucius Postumius (…?) of Lucius,Latin,lucius postumius ḷuci .,Lucius postumius ḷuci .,,
"Sabine calos (:&#954;&#945;&#955;&#972;&#962;) Hermeros te amat ((:palma))
Sabine calos  HIIRMIROIITEAMATA ((:palma))",,Latin/Greek,"sabine calos καλός hermeros te amat palma, sabine calos hiirmiroiiteamata palma",,,
"a(nte) d(iem) XI K(alendas) Dec(embres) Geryones
trimembres aerus (:aeris) senos
comperendinarunt (:comperendinaverunt)",11 days before the Kalends of December three-bodied Geryon claimed (?) six asses,Latin,"ante diem xi kalendas decembres geryones, trimembres aeris senos, comperendinaverunt","before the 11th day of the 11th day of December, the geryons, the three-quarters of the old brass, were found",,
non aug,does not increase,Latin,non aug,does not increase,,
"+N&#803;+DVS
ID[-]D PDICAP[-&#818;]+&#818;
VET&#803;R+&#818;+&#818; pagani&#818;s&#818;
maldixi (:maledixi) te testifico&#818;",(incomprehensible series of letters) I cursed the villagers. I call you as a witness.,Latin,"ṇdvs, idd pdicap̲̲, veṭr̲̲ pagani̲s̲, maledixi te testifico̲","ṇdvs, idd pdicap̲̲, veṭr̲̲ pagani̲s̲, I cursed you I testify̲",,
POM&#923;,(Beginning of word),Latin,pomλ,poml,,
SIIIQBIIIIRI,siiiqbiiiiri,Latin,siiiqbiiiiri,siiiqbiiiiri,,
&#12296;:textus non legitur&#12297;,(Incomprehensible series of characters),Latin,,,,
Florus,flower,Latin,florus,flower,,
Cosmus,cosmos,Latin,cosmus,cosmos,,
((centuria)) Aebuti,The century (unit) of Aebutius,Latin,centuria aebuti,a hundred years ago,,
"&#12296;:ad perpendiculum&#12297;
+OT",?OT,Latin,", ot",", that is",,
Habitus,attitude,Latin,habitus,attitude,,
"Alban&#7909;[s] a(ssem) I
&#7840;lbanus a(ssem) I
[A]&#7735;banus a(ssem) I
A[lb]anus a(sses) II
Agath&#7865;[m]er(us) a(sses) II
Acathe&#7747;&#7865;r(us) (:Agathemerus) a(ssem) I
Acanthus","Albanus - 1 as (small coin), Albanus - 1 as, Albanus - 1 as, Albanus - 1 as, Agathemerus - 2 asses (coins), Agathemerus - 1 as, Acanthus",Latin,"albanụs assem i, ạlbanus assem i, aḷbanus assem i, albanus asses ii, agathẹmerus asses ii, acatheṃẹrus agathemerus assem i, acanthus","albanus assem i, ạbanus assem i, aḷbanus assem i, albanus assem ii, agathemerus assem ii, acatheṃẹrus agathemerus assem i, acanthus",,
&#12296;:textus non legitur&#12297;,(Incomprehensible series of characters),Latin,,,,
"pane(m) a(ssibus) II
purm(entarium) a(ssibus) III
oleum a(sse) I
OXC a(ssibus) IIII
vinum a(sse) s(emis)
casium (:caseum) a(sse) s(emis)
OM+ a(ssibus) IIII
vinum a(sse) s(emis)
XI K(alendas) ac(ce)pi ((denarium)) I
vinum a(sse) I
porcin(am) a(sse) I
VIINVM (:vinum) a(sse) s(emis)
casiûm (:caseum) a(sse) s(emis)
L(ucius) Gavi+ IIII s(emis) 
vinum a(sse) s(emis)
carn(em) a(sse) I
vin[u]m a(sse) I","Bread - 2 asses (small coins), porridge - 3 asses, oil - 1 as, OXC - 4 asses, wine - 1/2 as, cheese - 1/2 as, OM+ - 4 asses, wine - 1/2 as. 11 days before the Kalends I received 1 denarius (large coin). Wine - 1 as, pork (cutlet?) - 1 as, wine - 1/2 as, cheese - 1/2 as. Lucius Gavius - 4 1/2. Wine - 1/2 as, meat - 1 as, wine - 1 as.",Latin,"panem assibus ii, purmentarium assibus iii, oleum asse i, oxc assibus iiii, vinum asse semis, caseum asse semis, om assibus iiii, vinum asse semis, xi kalendas accepi denarium i, vinum asse i, porcinam asse i, vinum asse semis, caseum asse semis, lucius gavi iiii semis , vinum asse semis, carnem asse i, vinum asse i","bread for 2 ounces, spices for 3 ounces, oil for 1, oxc for 3 ounces, wine for half a glass, cheese for half a glass, om for three glasses, wine for half a glass, on the 11th day I received a penny for one, wine for one glass, pork for one glass, wine for half a glass, roast the cheese, roast the light, roast the wine, roast the meat, roast the wine",,
Maximu&#803;[s],the greatest,Latin,maximụs,the greatest,,
T&#770;îb&#770;er,Tiber?,Latin,t̂îb̂er,t̂îb̂er,,
"D
D
X X","500, 500, 20",Latin,"d, d, x x","d, d, x x",,
Marim,the sea,Latin,marim,the sea,,
((centuria)) Valentis,The century (unit) of Valens,Latin,centuria valentis,a century of strength,,
Prima,Prima,Latin,prima,the first,,
"Nonnius


",Nonnius,Latin,"nonnius, , , ","no more, , ,",,
"Eo
v&#770;a(le)
Chloe","Hey- bye, Chloe!",Latin,"eo, v̂ale, chloe","bye, chloe",,
Aptus,Aptus,Latin,aptus,suitable,,
((centuria)) Luccei,The century (unit) of Lucceius,Latin,centuria luccei,a century of prosperity,,
"&#12296;:ad perpendiculum&#12297;
AB",", from",Latin,", ab",", from",,
"&#12296;:columna I, stria 4&#12297;
Leon
Leon
Leon

&#12296;:columna II, stria 5&#12297;
L&#818;e&#818;o&#818;n&#818;","Leon, Leon, Leon, Leon",Latin,", leon, leon, leon, , , l̲e̲o̲n̲",", lion, lion, lion, , , l̲e̲o̲n̲",,
Lepidi,Of Lepidus,Latin,lepidi,nice,,
Uxsor (:Uxor),Wife,Latin,uxor,wife,,
"BE
SAG&#818;",(Incomprehensible series of letters),Latin,"be, sag̲","be, sag̲",,
Felix,Felix,Latin,felix,happy,,
Si pudor quis,If (there is) any modesty . . .,Latin,si pudor quis,if anyone is ashamed,,
Postumi ((quinque centum)),Postumius' - 500,Latin,postumi quinque centum,posthumus five hundred,,
"Sec+dus 
Secu+","Secundus?, Secu(ndus?)",Latin,"secdus , secu",secdus,,
&#12296;:textus non legitur&#12297;,(Incomprehensible series of characters),Latin,,,,
"[D]ic mihi
[Dam]oeta&#803;","Tell me, lady",Latin,"dic mihi, damoetạ","Tell me, lady",,
Cauda,Tail,Latin,cauda,tail,,
"Neptunus
((:nomen NEPTVNUS in forma navis scriptum))
","Neptune, the name Neptune written in the shape of a ship",Latin,"neptunus, nomen neptvnus in forma navis scriptum, ","Neptune, the name Neptune written in the shape of a ship",,
P&#803;aris &#7807;a(le),"Bye, Paris",Latin,p̣aris ṿale,p̣aris ṿale,,
STI puela (:puella) M&#770;ula,(...other letters here...) girl Mula,Latin,sti puella m̂ula,You are a young girl,,
Marcus,mark,Latin,marcus,mark,,
"Primigenia 
cum Prima 
hic",Primigenia was here with Prima.,Latin,"primigenia , cum prima , hic","the original, with the first, here",,
"P&#803;rima

Q
Q
Q","Prima . . . Q, Q, Q",Latin,"p̣rima, , q, q, q","first, , q, q, q",,
Venus Venus,come come,Latin,venus venus,come come,,
Lib(eralis),Lib(eralis),Latin,liberalis,liberal,,
Ve++ios,(Incomprehensible series of letters),Latin,veios,you will see,,
&#12296;:textus non legitur&#12297;,(Incomprehenisible series of characters),Latin,,,,
Novi,I know,Latin,novi,I know,,
C F&#770; I,C F I,Latin,c f̂ i,c f̂ i,,
Hellespontus,Hellespont,Latin,hellespontus,Hellespont,,
IIIIIIII,8,Latin,iiiiiiii,iiiiiiii,,
IIIIIIII,iiiiiiii,Latin,iiiiiiii,iiiiiiii,,
Bromius,bromine,Latin,bromius,bromine,,
vadavo,I was going,Latin,vadavo,I was going,,
Prima,the first,Latin,prima,the first,,
&#917;&#803;&#933;&#803;Y&#803;ROIVI&#923;C,(incomprehensible series of characters),Latin/Greek,ε̣υ̣ỵroiviλc,,,
XVS  XVS,xvs xvs,Latin,xvs xvs,xvs xvs,,
Trebenius,trebenius,Latin,trebenius,trebenius,,
"Celer[i]=
na Spuri f(ilia)
S&#7865;[l]inunti","swift =, na spurious daughter, sly",Latin,"celeri=, na spuri filia, sẹlinunti","swift =, na spurious daughter, sly",,
Successa,Successa,Latin,successa,success,,
BACTEICIEO,bacteria,Latin,bacteicieo,bacteria,,
IIIIIIIIIII,iiiiiiiiiiii,Latin,iiiiiiiiiii,iiiiiiiiiiii,,
quin,because,Latin,quin,because,,
Iulium &#921;(---?),July ι,Latin,iulium ι,July ι,,
L(ucius) CORVRICON,Lucius CORVRICON (name not otherwise known),Latin,lucius corvricon,Lucius Corvric,,
Phoebus,Phoebes,Latin,phoebus,Phoebes,,
Latinus,Latin,Latin,latinus,Latin,,
nox,night,Latin,nox,night,,
OBR,OBR,Latin,obr,obr,,
TI CAADI,I'm sorry,Latin,ti caadi,I'm sorry,,
IIIIIIIIII,10,Latin,iiiiiiiiii,iiiiiiiii,,
[-]ic Roma,Rome (here?),Latin,ic roma,Rome,,
emis CC K(?),You buy (for the amount of?) 200 coins (?),Latin,emis cc k,you buy cc k,,
IIIIIIIIIIIIIII,15,Latin,iiiiiiiiiiiiiii,iiiiiiiiiiiiiii,,
Soles&#803;,sun,Latin,soleṣ,sun,,
"C(aius?) Sei&#803;[- - -]
Odem[- - -]","caius seËfilius, odem.",Latin,"caius seịfilius, odem.","caius seËfilius, odem.",,
Evanthus,Euanthus,Latin,evanthus,Evantus,,
LXIIII,64,Latin,lxiiii,lxiiii,,
X,10,Latin,x,x,,
IIIIIIIIIII,11,Latin,iiiiiiiiiii,iiiiiiiiiiii,,
Leon,Leon,Latin,leon,a lion,,
"&#12296;:columna I=stria 17&#12297;
A
MM
&#12296;:vacat&#12297;
M
M
Mopsus

&#12296;:columna II=stria 20&#12297;
KRVS
V&#770;a(le)","(individual letters), Mopsus, (series of letters), bye!",Latin,", a, mm, , m, m, mopsus, , , krvs, v̂ale",", a, mm, , m, m, mopsus, , , krvs, v̂ale",,
"Vesbin(us) Vesbinus
",vesbin vesbin,Latin,"vesbinus vesbinus, ",vesbin vesbin,,
IIIIII,6,Latin,iiiiii,iiiiii,,
"A(ssibus) VIII
Stabuli",8 asses (coins) for use of stables.,Latin,"assibus viii, stabuli","Assis 8, stables",,
"D D D
D D D",?,Latin,"d d d, d d d","d d d, d d d",,
IIII,4,Latin,iiii,iii,,
II II II,6,Latin,ii ii ii,ii ii ii,,
Galerii,The Galerii (or 'of Galerius'),Latin,galerii,gallery,,
X,10,Latin,x,x,,
XIIII,14,Latin,xiiii,xiii,,
pascela,Pascela (?),Latin,pascela,pasture,,
"&#12296;:stria 6&#12297;
Q 
S
S

&#12296;:stria 7&#12297;
QII
SSS",(Individual letters),Latin,", q , s, s, , , qii, sss",", q , s, s, , , qii, sss",,
Narcissus,narcissus,Latin,narcissus,narcissus,,
Lucius,Lucius,Latin,lucius,light,,
Telesius,Telesius,Latin,telesius,more distant,,
Ianuarius,Ianuarius,Latin,ianuarius,January,,
Venerandus,Venerandus,Latin,venerandus,to be worshiped,,
"Felix V
&#390; C","happy v, ɔ c",Latin,"felix v, ɔ c","happy v, ɔ c",,
"Sa=
lve",Hello!,Latin,"sa=, lve","sa=, lve",,
Seci&#7885;lo,(name?),Latin,seciọlo,cut off,,
IIIIIIIII,9,Latin,iiiiiiiii,iiiiiiiii,,
M(arcum) Sindium,mark of union,Latin,marcum sindium,mark of union,,
II,2,Latin,ii,ii,,
Faustus,Faustus,Latin,faustus,lucky,,
Fau&#803;s&#803;tus TR,Faustus (incomprehensible series of letters),Latin,faụṣtus tr,faûṣtus tr,,
"Mortus (:mortuus)
Glo+ru&#803;s&#803;
posteru Nonas (:postridie Nonas)","dead, glorûṣ, the next day, the next day",Latin,"mortuus, glorụṣ, posteru nonas postridie nonas","dead, glorûṣ, the next day, the next day",,
fututa sum hic,I'm joking here,Latin,fututa sum hic,I'm joking here,,
Successu&#803;s&#803;,success,Latin,successụṣ,success,,
"Lucmo (:Lucumo)
quis CCC+
&#12296;:vacat&#12297; S","Lucumo
who 300[-] (?)",Latin,"lucumo, quis ccc, s","lucumo, who ccc, s",,
"I&#773;I&#773;vir (:duovir)
erat","i̅i̅duovir, it was",Latin,"i̅i̅duovir, erat","i̅i̅duovir, it was",,
Quartio(?),quarter,Latin,quartio,quarter,,
RV7I (:Rufi?),Of Rufus(?),Latin,rufi,red,,
"Ianuari,
ligis (:lingis) [m]entula (:mentulam).",to open the door,Latin,"ianuari,, lingis mmentulam.",to open the door,,
"P(ublius) Sitti&#7909;s
APPA V",Publius Sittius (...other letters here...),Latin,"publius sittiụs, appa v","publius sittiùs, appa v",,
Anatolii,of Anatolius(?),Latin,anatolii,Anatolia,,
Nicephor,Nicephor,Latin,nicephor,nicephorus,,
XIIX k(alendas) Iulia(s),12 July calendars,Latin,xiix kalendas iulias,12 July calendars,,
Eat  t&#770;h,(Incomprehensible series of characters),Latin,eat t̂h,let t̂h,,
Mnester v&#770;a(le),mnester vale,Latin,mnester v̂ale,mnester vale,,
Epaphra,Epaphra,Latin,epaphra,Epaphras,,
CELA,Hide!,Latin,cela,hide,,
Res&#803;,Things,Latin,reṣ,things,,
ANA ((:caput hominis)),ANA,Latin,ana caput hominis,ana the head of a man,,
Cera,Wax,Latin,cera,wax,,
Phrastes,Phrastes,Latin,phrastes,Phrases,,
Fora,Forums,Latin,fora,forums,,
SIR,sir,Latin,sir,sir,,
"M(arcus) X Felix et Fortun(a)tus ego et tu
sua","Marcus x happy and fortunate I and you, his",Latin,"marcus x felix et fortunatus ego et tu, sua","Marcus x happy and fortunate I and you, his",,
va(le) Quartilla,"Bye, Quartilla",Latin,vale quartilla,goodbye quartet,,
ICYLI,(Series of letters),Latin,icyli,Icyli,,
&#7746;&#7841;rcius Atimetys (:Atimetus),Marcius Atimetus,Latin,ṃạrcius atimetus,ṃạcius afraid,,
"IIIIIIIIIIIIIIII
IIIIIIIIIIII IIIIIII
IIIIIIIII II IIIIIIII
IIIII IIIIIII","14, 4
18
12, 9
5, 9",Latin,"iiiiiiiiiiiiiiii, iiiiiiiiiiii iiiiiii, iiiiiiiii ii iiiiiiii, iiiii iiiiiii","iiiiiiiiiiiiiii, iiiiiiiiiiii iiiiiii, iiiiiiiii ii iiiiiiiii, iiiii iiiiiii",,
"C t C F
C C",(Unknown),Latin,"c t c f, c c","c t c f, c c",,
Mebi venio,"Mebius (?), I'm coming.",Latin,mebi venio,I am coming,,
futui,I was scared,Latin,futui,I was scared,,
C(aius) Ovi&#818;us,Gaius Ovius,Latin,caius ovi̲us,caius ovi̲us,,
"Surre(n)tinas 
Surrentinas 
((:verba Surrentinas scripta in forma duae navium))
((:caput hominis))","surrentines, surrentines, surrentine words written in the form of two ships, a man's head",Latin,"surrentinas , surrentinas , verba surrentinas scripta in forma duae navium, caput hominis","surrentines, surrentines, surrentine words written in the form of two ships, a man's head",,
&#923;VCVLVS,??,Latin,λvcvlvs,λvcvlvs,,
Marcus,mark,Latin,marcus,mark,,
Qui(s)quis,anyone,Latin,quisquis,anyone,,
"Habito suo&#803; sal(utem), sal(utem).","I live in peace, safety.",Latin,"habito suọ salutem, salutem.","I live in peace, safety.",,
"Pac&#7841;[tus?]
Pom[peia]nis (salutem?)","peace, greetings to the Pompeians",Latin,"pacạtus, pompeianis salutem","peace, greetings to the Pompeians",,
"IIas (:Ias) cum Ma=
gno ubique","now with ma=, gno everywhere",Latin,"ias cum ma=, gno ubique","now with ma=, gno everywhere",,
"MO ((:phallus)) A
S&#7734;","mo phallus a, sḷ",Latin,"mo phallus a, sḷ","mo phallus a, sḷ",,
"&#12296;:ad perpendiculum&#12297;
&#12296;:textus non legitur&#12297;
",", ,",Latin,", , ",", ,",,
"((:phalli figura))
Iarinus","the shape of a phallus, yarn",Latin,"phalli figura, iarinus","the shape of a phallus, yarn",,
Ianuaria,January,Latin,ianuaria,January,,
[---?] omnib(us),in all,Latin,in omnibus,in all,,
Callìd&#7771;ome v&#770;a(le),callìdṛome v̂ale,Latin,callìdṛome v̂ale,callìdṛome v̂ale,,
"Capella, va(le)
((:palmae ramus))
((:palm branch))","chapel, farewell, palm branch, palm branch",Latin,"capella, vale, palmae ramus, palm branch","chapel, farewell, palm branch, palm branch",,
Pirrichus (:Pyrrichus) est M[- - -]i &#12296;:servus&#12297; nec [tamen]+,Pyrrhus is m.i nor yet,Latin,pyrrichus est m.i nec tamen,Pyrrhus is m.i nor yet,,
"IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
IIIIIIIIIIIIIIIIIIIIIIIIIIIIII &#12296;:vacat&#12297; IIIIIIIIIIIIIIII
IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII",iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,Latin,"iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii, iiiiiiiiiiiiiiiiiiiiiiiiiiiiii iiiiiiiiiiiiiiii, iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii",iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,,
C(aius) Concessu[s],Gaius Concessus or having been permitted,Latin,caius concessus,granted,,
"Communis
Clo&#803;[d]i&#803;a sua
dom (:domina)","Communis (and?) Clodia, his mistress (girlfriend or owner)",Latin,"communis, clọdịa sua, domina","common, his lady, lady",,
Paris v&#770;a(le),"Bye, Paris",Latin,paris v̂ale,peer,,
C(aii) Asixi (:Asini?) Proculi,of Gaius Asinius Proculus,Latin,caii asini proculi,I went far away,,
"IIX Id(ibus) Iulias axungia (:axungiam) p(ondo) CC
aliu (:alium) manuplos (:manipulos) CCL",Eight days before the Ides of July (=July 8th):  200 pounds of grease (lard?) and 250 bunches of garlic (?),Latin,"iix idibus iulias axungiam pondo cc, alium manipulos ccl","On those days I will join the julias weighing cc, and another team of ccl",,
A&#770;B R M&#770;R,âb r m̂r,Latin,âb r m̂r,âb r m̂r,,
((:homo galeatus)),a man with a helmet,Latin,homo galeatus,a man with a helmet,,
"Curiosus Vitalio
S A B","Vitalio is curious
 Sabinio(?)",Latin,"curiosus vitalio, s a b","curious about life, s a b",,
"Felicio
Verus 
VIIII","Felicio, Verus, 9",Latin,"felicio, verus , viiii","happiness, true, viii",,
"Quartila (:Quartilla)
Fuficia
tu+eriti co
filia","Quartilla Fuficia, (???) daughter",Latin,"quartilla, fuficia, tueriti co, filia","quartilla, fucia, tueriti co, daughter",,
Rom&#770;a&#770;n&#770;u&#770;s,rom̂ân̂ûs,Latin,rom̂ân̂ûs,rom̂ân̂ûs,,
