content,apparatus,sourceFindSpot,contentTranslation,caption,writingStyleInEnglish,languageInEnglish,cil,citation,preciseLocation,italianPropertyName,numberOfGraffiti,propertyNumber,insula.shortName,insula.fullName,insula.city.name,insula.city.pleiadesId,englishPropertyName,additionalEntrances,propertyName,descriptionInEnglish,descriptionInLatin
"a(nte) d(iem) XI K(alendas) Dec(embres) Geryones
trimembres aerus (:aeris) senos
comperendinarunt (:comperendinaverunt)","Textus secundum (3)<br>v. 2: TRIMEMBRES PERVSSENOS (1)<br>De his viris (i.e. Geryones) et tempore huius tituli, vide EDR167788<br>Pone EDR167715","Pompei (Napoli), Regio VIII.7.20, Corridoio dei Teatri, muro nord",11 days before the Kalends of December three-bodied Geryon claimed (?) six asses,Graffito mentioning a date and money,Graffito/incised,Latin,2440,"AGP-EDR167718, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167718&gt; [accessed: 27 Mar 2023]",,Corridoio dei Teatri,156,20,VIII.7,Insula VIII.7,Pompeii,433032,Theater Corridor,,Corridoio dei Teatri,,
l s²ms¹{g}rm,"Textus et notae criticae secundum (5)<br>Lingua Safaitica est qua olim nomades Syriaci usi sunt.<br>v. 1: apographum in (1) et phot. in (4) inversa sunt.<br>Hic titulus est pars versus 2 tituli CIL 04, 04962 (nunc EDR168156, EDR168166, EDR168167), cuius v. 1 et v. 2 separatim editi sunt (2)(3).<br>Titulus olim cum EDR168166 coniunctus est ut CIL 04, 04962 v. 2  (1)-(3); seiuncti sunt (5).<br>Ante et superius EDR168149.","Pompei (Napoli), Regio VIII.7.20, Corridoio dei Teatri, muro nord",(Written) by s²ms¹grm,Graffito in Safaitic,Graffito/incised,other,4962,"AGP-EDR168156, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168156&gt; [accessed: 27 Mar 2023]",,Corridoio dei Teatri,156,20,VIII.7,Insula VIII.7,Pompeii,433032,Theater Corridor,,Corridoio dei Teatri,,
non aug,Textus secundum (1)<br>v. 1: i.e. NON(IS) AVG(VSTIS) vel NON(AS) AVG(VSTAS)? (ut Benefiel a. 2015)<br>sub EDR149110,"Pompei (Napoli), Regio VII.12.18-20, Lupanare, cella f",,,Graffito/incised,Latin,2229,"AGP-EDR149111, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR149111&gt; [accessed: 27 Mar 2023]",,Lupanare,137,18-20,VII.12,Insula VII.12,Pompeii,433032,,,Lupanare,,
"+N&#803;+DVS
ID[-]D PDICAP[-&#818;]+&#818;
VET&#803;R+&#818;+&#818; pagani&#818;s&#818;
maldixi (:maledixi) te testifico&#818;","Textus secundum (2)(4), mensurae secundum (4). Contulerunt DiBiasie-Sammons et Helms (AGP) a. 2019.<br>v. 1-4: Textus in (1) legitur sic: LIIVC[A]DVS DEDICAPI[T] VETIO[M] PAGANIS : MAL[E] VIX[IT] TE TESTIFICO.<br>v. 1: a. 2019 solum vestigia remanent (4).<br>v. 2: ad extremum, DICARE fuisse potest (2).<br>v. 4: TESTIFICO activum pro TESTIFICOR deponens (3).<br>In v. 1 huius tituli scriptus est titulus EDR167552, in v. 3 EDR167573.<br>Pone EDR167842, EDR167830","Pompei (Napoli), Regio VIII.7.20, Corridoio dei Teatri, muro sud",(incomprehensible series of letters) I cursed the villagers. I call you as a witness.,Curse,Graffito/incised,Latin,2445,"AGP-EDR167837, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167837&gt; [accessed: 27 Mar 2023]",,Corridoio dei Teatri,156,20,VIII.7,Insula VIII.7,Pompeii,433032,Theater Corridor,,Corridoio dei Teatri,,
POM&#923;,"Textus secundum (3), periit (3). Contulerunt et tectorio corroso non invenerunt Sypniewski et Benefiel (AGP) a. 2019.<br>v.1: mi sembra possibile la lettura POMP (1), Pompei(...?) vel POMA (2)<br>In eadem columna EDR128748 et EDR167311 (stria 16), EDR128750 (striae 5, 8, 12, 13, 16, 17)","Pompeii (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. III, stria 8",(Beginning of word),Graffito,Graffito/incised,Latin,8523,"AGP-EDR128747, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128747&gt; [accessed: 27 Mar 2023]","col. III, stria 8",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"&#916;&#949;&#803;&#961;&#803;&#947;&#803;&#953;&#945;&#967;&#945;&#953;
&#954;&#945;&#957;&#803;&#964;&#961;&#953;&#945;&#803;","Textus secundum (2)-(3); mensura secundum (1). Maxima ex parte perierunt (3), periit (4). Contulerunt et non invenerunt tectorii lapsu Benefiel et Sypniewski (AGP) a. 2019.<br>vv. 1-2: lectio dubia (4)<br>v. 1: &#916;&#917;&#929;&#915;&#921;&#913;&#935;&#913;&#921; vel &#916;&#917;&#929;&#932;&#921;&#913;&#935;&#913;&#921; (1)-(2)<br>v. 2: &#922;&#913;&#925;(&#921;)&#932;&#929;&#921;&#913;? (1), &#922;&#913;&#925;&#932;&#929;&#921;&#913;(??) (2)<br>In eadem columna EDR167405, EDR167409 (stria 4); EDR167407 (striae 7-11); EDR167406 (stria 11); EDR167408 (stria 18)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXXXIII, stria 1",,Graffito in Greek,Graffito/incised,Greek,8688,"AGP-EDR167404, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167404&gt; [accessed: 27 Mar 2023]","col. LXXXIII, stria 1",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
SIIIQBIIIIRI,"Textus secundum (1).<br>Periit secundum Garrucci, citatus apud (1)","Pompei (Napoli), Regio VIII.7.16, Quadriportico del Teatro",,,Graffito/incised,Latin,2475,"AGP-EDR151729, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR151729&gt; [accessed: 27 Mar 2023]",,,29,16,VIII.7,Insula VIII.7,Pompeii,433032,,17,Quadriportico del Teatro,,
&#12296;:textus non legitur&#12297;,"Textus secundum (4). Contulerunt Sypniewski et Benefiel (AGP) a. 2019.<br>Litteris tenuibus nunc valde evanidis (3)-(4). <br>v. 1: D V D = D(VVM) V(IR) (IVRE) (DICVNDO) (1); non expedivi (2)<br>Nunc solum vestigia, V &#923;, remanent (4).<br>Infra EDR167625 (stria 6); prope EDR128769 et EDR128770 (stria 7)<br>In eadem columna EDR128772 (stria 11), EDR128773 (stria 12), EDR127297 (stria 15), EDR127403 (striae 1, 2, 8, 12, 14, 20)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. XIV, stria 6",(Incomprehensible series of characters),Graffito,Graffito/incised,Latin,8547b,"AGP-EDR167625, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167625&gt; [accessed: 27 Mar 2023]","col. XIV, stria 6",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
Florus,"Textus secundum (1); scriptus iuxta CIL 04, 02222; mensurae ex apographo apud (1).<br>Status huius tituli incertus est: nulla enim imago exstat in A. Varone, Titulorum graphio exaratorum qui in C.I.L. vol. IV collecti sunt imagines, Roma 2012, vol. II.","Pompei (Napoli) VII.12.18-20, Lupanare, cella f",,,Graffito/incised,Latin,2223,"AGP-EDR148527, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR148527&gt; [accessed: 27 Mar 2023]",,Lupanare,137,18-20,VII.12,Insula VII.12,Pompeii,433032,,,Lupanare,,
((:avis ad sin.)),"Textus et mensural secundum (2).  Contulerunt E. Zimmermann Damer et R. Benefiel a. 2019 (AGP).<br>Titulus descriptus sic: Cicogna (?) a sinistra (1), avis (phasianus) ad sin. stans (2)<br>In eadem columna EDR127158, EDR128583, EDR128585, EDR128582, EDR167487, EDR167489, EDR167490, EDR167491, EDR167492","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. XXVI, stria 12",,Drawing of a bird,Graffito/incised,,8597,"AGP-EDR127218, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127218&gt; [accessed: 27 Mar 2023]","col. XXVI, stria 12",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,Bird facing left,((:avis ad sin.))
Cosmus,Textus secundum (1),"Pompei (Napoli), Regio VIII.3.9",,,Graffito/incised,Latin,6863,"AGP-EDR148790, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR148790&gt; [accessed: 27 Mar 2023]",,,3,9,VIII.3,Insula VIII.3,Pompeii,433032,,,,,
((centuria)) Aebuti,"Textus et mensurae secundum (2). Contulerunt H. Sypniewski et R. Benefiel a. 2019 (AGP) et non invenerunt. Tectorio nunc abraso, periit (3). <br>v. 1: ((centuria)) vel ((centurionis))<br>v. 1: scritta con una grossa punta metallica (1), crassa cuspide scriptus (2)<br>Octo tituli in campo ad amphitheatrum hoc signum (centurio?) mostrant, EDR127297 (col. XIV), EDR127160 (col. XXIX), EDR127807 (col. XXXIV), EDR128067 (col. LXVIII), EDR128082 (col. LXIX), EDR127579 et EDR127578 (col. LXXIII), EDR167976 (col. LXXXV)<br>In eadem columna EDR127398 (stria 6), EDR128080 (stria 16), EDR128082 (stria 20)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXIX, stria 20",The century (unit) of Aebutius,Graffito mentioning a centurion?,Graffito/incised,Latin,8652,"AGP-EDR128082, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128082&gt; [accessed: 27 Mar 2023]","col. LXIX, stria 20",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"VIII
VIII","Textus secundum (2); mensurae secundum (4).  Contulerunt E. Zimmermann Damer et R. Benefiel a. 2019 (AGP).<br>Mensurae<br>v. 1: alt.: 2.8; lat.: 2.4<br>v. 2: alt.: 4.9; lat.: 3.4<br>In eadem columna EDR128583, EDR128585, EDR128582, EDR167487, EDR127218, EDR167489, EDR167490, EDR167491, EDR167492","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. XXVI, stria 8","8, 8",Roman Numerals,Graffito/incised,,8597,"AGP-EDR127158, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127158&gt; [accessed: 27 Mar 2023]","col. XXVI, stria 8",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"&#12296;:ad perpendiculum&#12297;
+OT","Textus et mensurae secundum (2).  Contulerunt Sypniewski et Benefiel (AGP) a. 2019 et non invenerunt. Tectorio nunc abraso, periit (4). <br>v. 1: litteris minutis (2)<br>v. 1: IOT = P&#803;OT(ITVS?) (2); POT in schedis Della Corte apud Institutum Getty (4).<br>In eadem columna EDR167680, EDR167681, EDR167685, EDR167688, EDR167541","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXXXVII, stria 12",?OT,Graffito,Graffito/incised,Latin,8707,"AGP-EDR167687, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167687&gt; [accessed: 27 Mar 2023]","col. LXXXVII, stria 12",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
Habitus,Textus secundum (1),"Pompei (Napoli), Regio II.4.6, Praedia of Julia Felix",,,Graffito/incised,Latin,10121,"AGP-EDR149050, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR149050&gt; [accessed: 27 Mar 2023]",,Villa di Giulia Felice,26,6,II.4,Insula II.4,Pompeii,433032,Praedia of Julia Felix,"2-4,8-12",Praedia di Giulia Felice,,
"Alban&#7909;[s] a(ssem) I
&#7840;lbanus a(ssem) I
[A]&#7735;banus a(ssem) I
A[lb]anus a(sses) II
Agath&#7865;[m]er(us) a(sses) II
Acathe&#7747;&#7865;r(us) (:Agathemerus) a(ssem) I
Acanthus","Textus secundum (4), mensurae ex apographo apud (2). Periit (4). Contulerunt et non invenerunt Sypniewski et Benefiel (AGP) a. 2019; lapsu tectorii periit.<br>vv. 1-6: (accepit) subaudiendeum esse videtur (2); Nomen (accepit/debet/solvit?) a(ssem) I (4)<br>v. 7: ACANTHV[S] S(EMISSVM) vel ACANTHVS (SCRIPSIT?) (2)<br>Infra EDR128661 (alter index nominum cum pretibus) et eiusdem scriptoris manu (2)<br>Permulti tituli, quorum multi imagines sunt, in hac columna inveniuntur: EDR167447, EDR167574, EDR128290 et EDR167446 (stria 4); EDR127405, EDR167451, EDR167453 (stria 5); EDR168101, EDR167581, et EDR127191 (stria 7); EDR127829, EDR127830, EDR127831, EDR128660 (stria 8); EDR127828 et EDR128734 (stria 13); EDR128662 (stria 14); EDR127081 (stria 15); EDR128738 et EDR167583 (stria 16); EDR128663 (stria 10, 12, 15-16, 17)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. XVIII, stria 9","Albanus - 1 as (small coin), Albanus - 1 as, Albanus - 1 as, Albanus - 1 as, Agathemerus - 2 asses (coins), Agathemerus - 1 as, Acanthus",Graffito mentioning money,Graffito/incised,Latin,8565b,"AGP-EDR128733, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128733&gt; [accessed: 27 Mar 2023]","col. XVIII, stria 9",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
&#12296;:textus non legitur&#12297;,"Textus secundum (4), mensurae ex apographo apud (2).  Contulerunt et non invenerunt Sypniewski et Benefiel (AGP) a. 2019; lapsu tectorii periit (4).<br>Multae lineae sine ordine aut sensu. <br>v. 1: SOT(ER, ovvero - ERIS) (1), SOT(ER) vel SOT(ER)/ICV(S)? (2)<br>Infra EDR167447 et EDR167574, supra EDR167446 <br>Permulti tituli, quorum multi imagines sunt, in hac columna inveniuntur: EDR127405, EDR167451, EDR167453 (stria 5); EDR168101, EDR167581, et EDR127191 (stria 7); EDR127829, EDR127830, EDR127831, EDR128660 (stria 8); EDR128661 et EDR128733 (stria 9); EDR127828 et EDR128734 (stria 13); EDR128662 (stria 14); EDR127081 (stria 15); EDR128738 et EDR167583 (stria 16); EDR128663 (stria 10, 12, 15-16, 17)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. XVIII, stria 4",(Incomprehensible series of characters),Graffito,Graffito/incised,Latin,8561b,"AGP-EDR128290, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128290&gt; [accessed: 27 Mar 2023]","col. XVIII, stria 4",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"pane(m) a(ssibus) II
purm(entarium) a(ssibus) III
oleum a(sse) I
OXC a(ssibus) IIII
vinum a(sse) s(emis)
casium (:caseum) a(sse) s(emis)
OM+ a(ssibus) IIII
vinum a(sse) s(emis)
XI K(alendas) ac(ce)pi ((denarium)) I
vinum a(sse) I
porcin(am) a(sse) I
VIINVM (:vinum) a(sse) s(emis)
casiûm (:caseum) a(sse) s(emis)
L(ucius) Gavi+ IIII s(emis) 
vinum a(sse) s(emis)
carn(em) a(sse) I
vin[u]m a(sse) I","Textus secundum (2), mensurae secundum apographum apud (2). Periit (7). Contulerunt et non invenerunt Sypniewski et Benefiel (AGP) a. 2019; lapsu tectorii periit.<br>v. 3: PVRM per PVLM = pulmentarium o, per sincope, pultarium (1) <br>v. 4: textus omittur (1), non expedivi (2)<br>v. 7: OMDV(?) III (1), non expedivi (2)<br>v. 14: L GAVIR(?) III S (1), L. GAVI (denarios?) IIII vel VIII S(emis) (accepi?) (2)<br>v. 16: CARV A 1 (1), CARN(em) A(ssis) I (2); CARV scriptum est, sed fortasse una linea litterae N (pro CARN) caret (7) <br>Infra EDR127828 (Numina Di)<br>Permulti tituli, quorum multi imagines sunt, in hac columna inveniuntur: EDR167447, EDR167574, EDR128290 et EDR167446 (stria 4); EDR127405, EDR167451, EDR167453 (stria 5); EDR168101, EDR167581, et EDR127191 (stria 7); EDR127829, EDR127830, EDR127831, EDR128660 (stria 8); EDR128661 et EDR128733 (stria 9); EDR128662 (stria 14); EDR127081 (stria 15); EDR128738 et EDR167583 (stria 16); EDR128663 (stria 10, 12, 15-16, 17)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. XVIII, stria 13","Bread - 2 asses (small coins), porridge - 3 asses, oil - 1 as, OXC - 4 asses, wine - 1/2 as, cheese - 1/2 as, OM+ - 4 asses, wine - 1/2 as. 11 days before the Kalends I received 1 denarius (large coin). Wine - 1 as, pork (cutlet?) - 1 as, wine - 1/2 as, cheese - 1/2 as. Lucius Gavius - 4 1/2. Wine - 1/2 as, meat - 1 as, wine - 1 as.",Graffito listing food and prices,Graffito/incised,Latin,8566b,"AGP-EDR128734, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128734&gt; [accessed: 27 Mar 2023]","col. XVIII, stria 13",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
Maximu&#803;[s],Textus secundum (1)<br>,"Pompei (Napoli), Regio IX.13.5-6, Facade",,,charcoal,Latin,9140,"AGP-EDR161820, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR161820&gt; [accessed: 27 Mar 2023]","IX.13.5-6, Facade",,0,0,Unknown,,Pompeii,,,,Not found,,
T&#770;îb&#770;er,"Textus secundum (2), periit (3). Contulerunt et non invenerunt Sypniewski et Benefiel (AGP) a. 2019. Omne tectorium columnae (et quod in columnis XVI-XXI a. 1939 exstabat) nunc caret.<br>v. 3: TIBER(?). Fluminis TIBER(is) an TIBER(ii) nomen hic latet? (2)<br>In eadem columna EDR128017, EDR128016, EDR167471, EDR167472, EDR127194, EDR167431","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. XIX, stria 15",Tiber?,Graffito,Graffito/incised,Latin,8573,"AGP-EDR127847, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127847&gt; [accessed: 27 Mar 2023]","col. XIX, stria 15",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
"D
D
X X","Textus secundum (1), periit (3).<br>Contulerunt et non invenerunt Sypniewski et Benefiel (AGP) a. 2019. Omne tectorium columnae (et quod in columnis XVI-XXI a. 1939 exstabat) nunc caret.<br>Tres partes (hic titulus cum EDR17518, stria 12, et EDR127412, stria 13) coniunctae sunt apud (2).<br>In eadem columna: EDR128737, EDR167626, EDR127193, EDR167661, EDR127410, EDR127188, EDR175186, EDR127412, EDR127417, EDR127420, EDR127422","Pompei (Napoli), Regio II.7.1, Campus ad Amphitheatrum, col. XX, stria 14","500, 500, 20",Roman Numerals,Graffito/incised,Latin,8579,"AGP-EDR127416, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127416&gt; [accessed: 27 Mar 2023]","col. XX, stria 14",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
ABCD[EFGHI]K&#818;L&#818;M&#818;N&#818;O&#818;PQRSTVX,"Textus secundum (3). Contulerunt E. Zimmermann Damer et R. Benefiel a. 2019 (AGP).<br>Striae 14-17: ABCD; striae 2-12: KLMNOPQRSTV (1)(2)<br>Stria 13: littera X adhuc videtur (3), itaque litterae alphabeti in omnibus striis columnae scribuntur (3)<br>In eadem columna EDR127973, EDR167627, EDR127975, EDR127980, EDR167476, EDR127971, EDR127981, EDR127982","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. XXII, striae 14-20, 1-13",,Alphabet,Graffito/incised,Latin,9283,"AGP-EDR167586, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167586&gt; [accessed: 27 Mar 2023]","col. XXII, striae 14-20, 1-13",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,,
((:crux orbiculis ad extremum bracchiorum)),"Textus secundum et mensurae (6). Contulerunt Sypniewski et Benefiel (AGP) a. 2019.<br>Locus inventionis in stria 14 secundum (5)-(6), aliter [in stria 15] (1) (2). <br>v. 1: orbiculis additis postea et incisis subtiliter (6)<br>Signum geometricum (3) (6), aliter (1) (2).<br>A Della Corte signum Christianum creditur: una croce dai bracci incurvati a forma di Rho, la quale potrebbe esser ritenuta pure essa come un simbolo cristiano (1). Quattuor brachia crucis in speciam litterae &#961; torta sunt (2), <br>Sed Varone prudentior videtur: lncerto è intanto se di Rho si tratti (il loro andamento è retrogrado) e comunque in ogni caso è arduo pervenire al significato di tale scritta (3). <br>Et, orbiculi postea additi sunt: Orbiculi ad extremum brachiorum alia et tenuiore cuspide tempore sequenti incisi sunt (5).<br> In eadem columna EDR128746 (stria 15), EDR127213 (stria 16), EDR127842 et EDR173899  (stria 17)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. II, stria 14",,Drawing of a geometric design,Graffito/incised,,8519,"AGP-EDR128563, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128563&gt; [accessed: 27 Mar 2023]","col. II, stria 14",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,Cross with small circles at the end of each arm,((:crux orbiculis ad extremum bracchiorum))
Marim,Textus secundum (1).,"Pompei (Napoli), Regio VIII.5.16",,,Graffito/incised,Latin,4936,"AGP-EDR149164, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR149164&gt; [accessed: 27 Mar 2023]",,(Unnamed),5,16,VIII.5,Insula VIII.5,Pompeii,433032,,"15,38",(Unnamed),,
((:caput hominis ad sin.)),"Textus secundum (2), mensura secundum (4). Contulerunt E. Zimmermann Damer et R. Benefiel a. 2019 (AGP). <br>Titulus descriptus sic: altro [bustino giovanile] pure a sinistra, ma a testa verticalmente radiata (1), caput iuvenile ad sin. (radiatum?) (2)<br>Hic titulus et EDR167478 et EDR167479 eadem manu delineati sunt (1)<br>In eadem columna EDR167478, EDR167479, EDR167481","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. XXV, stria 16",,Drawing of a face,Graffito/incised,,p. 899 s.n.,"AGP-EDR167477, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167477&gt; [accessed: 27 Mar 2023]","col. XXV, stria 16",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,Head of a person facing left,((:caput hominis ad sin.))
((:aves oppositae)),"Textus et mensurae secundum (3), contulerunt Zimmermann Damer et Benefiel (AGP) a. 2019.<br>Mensurae utriusque paris avium, alt.: 2, lat.: 6 cm<br><br>Titulus descriptus sic: tre volte lo schematico disegnino di due volatili affrontati (1); ter est hic paucis lineis descriptum avium (gallorum?) oppositarum par.(2); drei Hahnenkampfpaare (3)<br>Tria paria avium, unusquisque super alterum in eadem stria; duo paria nunc tantum vestigia sunt, sed tertium par adhuc videtur (4).<br><br>In eadem columna: EDR127298 (stria 5), EDR128014 (stria 8), EDR127299 (striae 12-16)<br>","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. XXVII, stria 15",,Drawing of two birds,Graffito/incised,,8599,"AGP-EDR128294, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128294&gt; [accessed: 27 Mar 2023]","col. XXVII, stria 15",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,Drawing of two birds facing each other,((:aves oppositae))
((:figura hominis?)),"Textus et mensurae secundum (2). Contulerunt Zimmermann Damer et Benefiel (AGP) a. 2019.<br>Figur (1). <br>Imago dissociatur ab descriptione sua in (1), descriptio quae recte ad EDR168071 pertinet.<br>Permulti tituli in hac columna, multi quorum imagines sunt, inveniuntur.<br>EDR168070, EDR168071, EDR168073 et EDR168106 figuras hominum exhibent.<br>Tituli in hac columna: EDR127187 (stria 4); EDR127426 (stria 6); EDR127185 , EDR173705 et EDR168071 (stria 11); EDR168073 (hic titulus), EDR173785 et EDR168106 (stria 12); EDR168070 et EDR168077 (stria 18)","Pompei (Napoli), Regio II.7.1, Campus ad Amphitheatrum, col. XXXIII, stria 12",,Drawing of a person?,Graffito/incised,,,"AGP-EDR168073, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168073&gt; [accessed: 27 Mar 2023]","col. XXXIII, stria 12",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,Human figure?,((:figura hominis?))
((:anser stans)),"Textus et mensura secundum (1). Periit (2)-(3). Contulerunt et non invenerunt Zimmermann Damer et Benefiel (AGP) a. 2019.<br>Pinguis anser erectus (1)<br>Permulti tituli in hac columna, multi quorum imagines sunt, inveniuntur.<br>Tituli in hac columna: EDR127187 (stria 4); EDR127426 (stria 6); EDR127185 , EDR173705 et EDR168071 (stria 11); EDR168073, EDR173785 et EDR168106  (stria 12); EDR168070 et EDR168077 (hic titulus, stria 18)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. XXXIII, stria 18",,Drawing of a goose,Graffito/incised,,8611,"AGP-EDR168077, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR168077&gt; [accessed: 27 Mar 2023]","col. XXXIII, stria 18",Grande Palestra (Campus),489,1,II.7,Insula II.7,Pompeii,433032,Campus ad amphitheatrum,2-10,Campus ad amphitheatrum,Standing goose,((:anser stans))
